,train-rmse-mean,train-rmse-std,test-rmse-mean,test-rmse-std
0,30246.163672000002,168.75523646849297,30242.6789062,671.4353069980294
1,29981.653906,167.72974892011152,29981.2480468,668.3197335145736
2,29722.514843599998,165.57085115971648,29725.9054688,667.2911840682845
3,29471.669531400003,166.32600183836294,29478.031640799996,663.2939979107122
4,29232.03125,163.2338328830777,29241.842187399998,664.1822747679131
5,29001.998047,162.6743374300105,29015.085547000002,662.6588453926272
6,28782.7585938,164.64396236880026,28798.7921876,658.503984646326
7,28571.779297,166.34074713864553,28590.6566406,654.9451928850578
8,28366.892578,169.11969525758997,28389.361719,650.900629617525
9,28170.0089844,169.53199564249786,28195.733984600003,649.222505531031
10,27981.3058594,169.32656214778987,28010.1613282,648.757344212438
11,27797.2277344,169.66417176911682,27829.116405999997,647.9082148969821
12,27619.2621096,169.90070443335364,27654.44375,647.5387561145376
13,27445.782812600002,171.64939004651248,27483.8476562,644.7515405459408
14,27282.613671799998,172.32485443538565,27324.2222654,644.5626561495511
15,27125.4828126,171.35002852765467,27169.7027344,645.6553809966298
16,26974.7289064,169.17626990954523,27021.8992188,649.4107647430567
17,26826.8554688,167.19381296679285,26876.9230468,652.8007194862818
18,26687.2187498,165.14202764352655,26740.170312399998,656.0985331177948
19,26554.521093800002,165.30051514156568,26609.8074218,656.9971021816274
20,26424.8679688,165.99106007432272,26482.7625,657.879920315767
21,26300.3691406,165.61091825109446,26361.1910154,660.4926077616357
22,26180.5613282,167.43783632126613,26244.2015626,660.1289157048824
23,26067.1796876,168.01094255514948,26133.4035156,661.4043808806265
24,25958.0589846,169.14863800036213,26027.3234374,662.0806915276819
25,25851.9195312,171.4411095750297,25924.3304688,661.7627946931349
26,25748.8945314,172.8168797202063,25823.682031199998,662.240368803605
27,25650.6390626,173.06454449446574,25728.348046799998,664.8574892452452
28,25556.7441406,174.78012880110893,25637.4167968,665.2278369396881
29,25466.3308594,175.57576014195575,25548.7398436,666.0603641558378
30,25379.078124800002,176.89372728937693,25464.4757812,667.4728339624799
31,25295.1042968,177.00149554929246,25382.8140624,669.7019856864849
32,25213.4191404,177.56020873529022,25303.2285154,671.447494655615
33,25135.0648438,177.3321138738435,25227.1929686,674.3554451560863
34,25060.8472658,178.1010313512398,25155.5128906,676.0799983692675
35,24989.5882814,178.915487843743,25086.8136718,678.0314955595729
36,24920.9378908,180.8503890959578,25021.002343599997,678.7097505918856
37,24855.9878904,181.8788223906235,24958.9808594,680.0918736856783
38,24794.821875,181.32531305186208,24900.2093752,683.1244923952036
39,24733.728125,181.71754251890695,24841.883202999998,685.4746823997818
40,24676.3859374,182.96232580887678,24787.1968748,686.6486567988446
41,24620.5664062,182.96218457649732,24733.8609374,689.523567068929
42,24567.313672,183.66063306894068,24683.2890626,690.9696242543771
43,24515.2347658,184.59775843735878,24634.226562800002,692.8540256227856
44,24464.5527344,184.88401661228602,24586.358593599998,694.8971481709139
45,24416.0410156,185.67429957251727,24540.73125,696.9388377731185
46,24368.4792968,185.95340212631314,24496.041797,699.0482387083684
47,24323.663672000002,186.20830622448062,24453.9769532,701.319472998915
48,24280.798828,187.08405412341403,24413.955859600002,703.0429750640377
49,24239.615624799997,187.17848454747954,24375.6914062,705.5670129531808
50,24199.6273438,187.17820257591612,24338.2210938,708.0462833098725
51,24161.217187399998,187.63342745509854,24302.6039064,710.2481976369414
52,24124.5214844,187.36902038838124,24268.536718800002,712.6448476113377
53,24089.7871092,188.0579514988454,24236.389843599998,714.2175011445383
54,24055.2351562,188.56862967958634,24204.941015800003,716.0068990879442
55,24022.9378906,188.93777491044796,24175.8746094,717.9137020385126
56,23991.1910154,189.2937722044771,24146.8433594,719.5608810048079
57,23960.4855468,189.46976678704038,24118.7371094,721.6157378834453
58,23931.4472658,190.31111281968373,24092.4968748,722.4915133118938
59,23903.4570312,191.03834534763618,24067.6410158,723.7030729333346
60,23876.2519532,191.28552951690696,24043.3535156,725.3954556282421
61,23850.365625,191.94808553763238,24020.3828126,726.3094458484284
62,23825.0050784,192.6545057211927,23998.0980468,727.3762727977995
63,23800.6058594,192.63311928042705,23976.387109199997,729.2149998983197
64,23776.923437600002,193.42436595894057,23955.626562600002,730.1298481905856
65,23754.042578200002,193.6904462790317,23935.7832032,731.6667985497218
66,23731.689843599997,193.81918835419523,23916.2496094,733.2704544491752
67,23710.3113282,194.0384633247371,23897.5128906,734.5300597217341
68,23689.793749800003,194.29515377223683,23879.8390626,735.9460425933128
69,23669.9167968,194.341811021275,23862.755078,737.5778183143575
